Brand,post_id,post_text,time,likes,comments,shares,post_url,sentiment_score,sentiment_magnitude
DMK,5086920341382731,"Step into Spring like @lindsayvoitton in a pair of comfortable heels with shorts and a floral top 🌼
 Tag a friend you know who will love them!
 
 Product as seen on @lindsayvoitton: Chain Reaction Asymmetric Heel Sandals
 
 #DMKSHOES #journeywithcourage",2021-02-16 17:39:22,155,0,0,https://facebook.com/DMKShoes/posts/5086920341382731,0.5,1.5
DMK,5082281035179995,"#TFW you just want to sit back and relax after a long festive weekend 😌
 
 Product featured: Buckle Up Flat Mules
 
 Shop via www.dmk.com.sg✨
 
 #DMKSHOES #journeywithcourage",2021-02-15 13:00:22,370,0,0,https://facebook.com/DMKShoes/posts/5082281035179995,0.300000012,1.200000048
DMK,5069776123097153,"Stepping into 90's nostalgia like -
 
 Product featured: Carefree Sport Sandals
 
 Coming soon to all DMK boutiques ✨
 
 #DMKSHOES #journeywithcourage",2021-02-12 14:12:07,673,0,0,https://facebook.com/DMKShoes/posts/5069776123097153,0.300000012,1.5
DMK,5060805317327567,"Thinking about ""Relaxing Weekend"" Sport Sandals on a Wednesday 🤔
 
 Shop via www.dmk.com.sg✨
 
 #DMKSHOES #journeywithcourage",2021-02-10 15:43:54,1059,0,0,https://facebook.com/DMKShoes/posts/5060805317327567,0.200000003,0.600000024
DMK,5052736134801152,"Buckle up and brace yourself #CNY2021 is coming
 
 Product featured: Buckle Up Flat Mules
 
 Shop via www.dmk.com.sg✨
 
 #DMKSHOES #journeywithcourage",2021-02-08 15:13:32,862,0,0,https://facebook.com/DMKShoes/posts/5052736134801152,0,0.600000024
DMK,5048020678606031,"Slip and fall but make it fashion💁🏻‍♀️
 
 Product featured: Lead with Love Thong Sandals
 
 Coming soon to all DMK boutiques✨
 
 #DMKSHOES #journeywithcourage",2021-02-07 11:00:32,199,0,0,https://facebook.com/DMKShoes/posts/5048020678606031,0.300000012,1.399999976
DMK,5043828415691924,"Black or Mint, you'll still look gorgeous ❤️
 
 Product featured: Dynamic Diva Heel Sandals
 
 Coming soon to all DMK boutiques✨
 
 #DMKSHOES #journeywithcourage",2021-02-06 10:43:17,353,0,0,https://facebook.com/DMKShoes/posts/5043828415691924,0.400000006,1.899999976
DMK,5040574002684032,"A floral reminder to stop and smell the flowers 🌸
 - Petal’s Touch Slingback Flat Pumps
 
 Shop via www.dmk.com.sg✨
 
 #DMKSHOES #journeywithcourage",2021-02-05 16:19:55,269,0,0,https://facebook.com/DMKShoes/posts/5040574002684032,0.200000003,0.600000024
DMK,5.03251E+15,"Know that you're going places when your heels are golden 🚶🏻‍♀️
 
 Product featured: Golden Arches Heel Sandals
 
 Shop via www.dmk.com.sg✨
 
 #DMKSHOES #journeywithcourage",2021-02-03 17:04:26,498,0,0,https://facebook.com/DMKShoes/posts/5032506990157400,0.200000003,1
DMK,5023791697695596,"Slide into mules not DMs 📲💁🏻‍♀️
 
 Product featured: Croc Tears Heel Mules
 
 Shop via www.dmk.com.sg✨
 
 #DMKSHOES #journeywithcourage",2021-02-01 14:05:30,512,0,0,https://facebook.com/DMKShoes/posts/5023791697695596,0,1
DMK,5019115501496549,"That silver (or gold) lining you need for the start of the year Better Half Heel Pump
 
 Shop via www.dmk.com.sg✨
 
 #DMKSHOES #journeywithcourage",2021-01-31 11:04:20,425,5,0,https://facebook.com/DMKShoes/posts/5019115501496549,0.100000001,0.5
DMK,5015100011898098,"When you can't decide if it’s a dress up or dress down day. Solution: dress with sports sandals
 
 Product featured: Carefree Sport Sandals
 
 Coming soon to all DMK boutiques✨
 
 #DMKSHOES #journeywithcourage",2021-01-30 11:37:32,204,0,0,https://facebook.com/DMKShoes/posts/5015100011898098,0.200000003,1.100000024
